ANO,SEMANA_DO_ANO,AEROLANDIA,AEROPORTO,ALDEOTA,ALTO DA BALANCA,ALVARO WEYNE,AMADEU FURTADO,ANCURI,ANTONIO BEZERRA,ARRAIAL MOURA BRASIL,AUTRAN NUNES,BARRA DO CEARA,BARROSO,BELA VISTA,BENFICA,BOM FUTURO,BOM JARDIM,BONSUCESSO,CAIS DO PORTO,CAJAZEIRAS,CAMBEBA,CANINDEZINHO,CARLITO PAMPLONA,CASTELAO,CENTRO,CIDADE 2000,CIDADE DOS FUNCIONARIOS,COACU,COCO,CONJUNTO CEARA I,CONJUNTO CEARA II,CONJUNTO ESPERANCA,CONJUNTO PALMEIRAS,COUTO FERNANDES,CRISTO REDENTOR,CURIO,DAMAS,DE LOURDES,DEMOCRITO ROCHA,DENDE,DIAS MACEDO,DIONISIO TORRES,DOM LUSTOSA,EDSON QUEIROZ,ENGENHEIRO LUCIANO CAVALCANTE,FARIAS BRITO,FATIMA,FLORESTA,GENIBAU,GRANJA LISBOA,GRANJA PORTUGAL,GUAJERU,GUARARAPES,HENRIQUE JORGE,ITAOCA,ITAPERI,JACARECANGA,JANGURUSSU,JARDIM AMERICA,JARDIM CEARENSE,JARDIM DAS OLIVEIRAS,JARDIM GUANABARA,JARDIM IRACEMA,JOAO XXIII,JOAQUIM TAVORA,JOQUEI CLUB,JOSE BONIFACIO,JOSE DE ALENCAR,LAGOA REDONDA,LAGOA SAPIRANGA,MANOEL SATIRO,MANUEL DIAS BRANCO,MARAPONGA,MEIRELES,MESSEJANA,MONDUBIM,MONTE CASTELO,MONTESE,MUCURIPE,PADRE ANDRADE,PAPICU,PARANGABA,PARQUE ARAXA,PARQUE DOIS IRMAOS,PARQUE IRACEMA,PARQUE MANIBURA,PARQUE PRESIDENTE VARGAS,PARQUE SANTA ROSA,PARQUE SAO JOSE,PARQUELANDIA,PARREAO,PASSARE,PAUPINA,PEDRAS,PICI,PIRAMBU,PLANALTO AYRTON SENNA,PRAIA DE IRACEMA,PRAIA DO FUTURO I,PRAIA DO FUTURO II,PREFEITO JOSE WALTER,PRESIDENTE KENNEDY,QUINTINO CUNHA,RODOLFO TEOFILO,SABIAGUABA,SALINAS,SAO BENTO,SAO JOAO DO TAUAPE,SERRINHA,SIQUEIRA,VARJOTA,VICENTE PINZON,VILA ELLERY,VILA PERY,VILA UNIAO,VILA VELHA,ALAGADICO,GENTILANDIA,MATA GALINHA,PAN-AMERICANO,DATA
2011,1,0,0,1,0,0,0,3,0,0,0,1,1,4,1,0,2,0,1,1,0,1,0,1,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,6,0,0,1,3,6,1,0,4,4,1,6,0,3,0,0,5,0,1,0,0,2,10,0,7,0,5,12,2,0,1,0,0,0,0,0,10,4,1,2,3,10,7,6,0,0,12,0,1,3,3,6,11,1,1,3,3,1,0,1,0,1,0,2,0.0,0.0,0.0,0.0,2011-01-09
2011,2,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,0,2,4,0,0,0,4,0,2,2,2,1,0,0,1,11,0,0,3,0,0,0,0,1,0,0,5,7,1,0,0,1,0,0,0,11,2,0,1,1,3,1,0,9,2,4,8,2,1,1,0,1,1,0,0,1,3,12,1,3,0,7,16,3,0,0,0,0,0,1,0,16,3,2,8,9,11,4,12,0,1,16,0,1,8,8,10,13,3,0,0,9,2,0,1,1,5,1,4,0.0,0.0,0.0,0.0,2011-01-16
2011,3,0,0,2,1,1,0,7,1,4,0,2,3,1,0,0,4,0,1,1,4,1,0,7,0,0,3,0,1,0,0,1,8,0,2,6,0,0,0,0,4,1,0,10,4,0,0,0,1,2,1,0,10,1,0,0,5,2,1,0,2,0,2,5,0,2,0,0,5,0,0,0,0,3,15,0,3,0,1,7,1,0,0,1,0,0,1,0,13,4,1,7,3,15,6,12,0,1,7,0,0,8,4,6,16,0,5,2,5,3,1,6,0,6,4,2,0.0,0.0,0.0,0.0,2011-01-23
2011,4,0,0,0,0,2,0,2,0,1,1,4,7,1,1,0,6,0,1,1,3,0,1,3,1,0,3,3,0,3,0,0,1,0,2,10,0,0,0,0,0,0,0,13,2,0,0,0,1,1,0,0,5,0,0,1,8,8,0,0,1,1,0,8,3,2,0,0,7,0,0,0,0,3,27,1,4,0,3,6,6,0,1,2,1,0,0,0,9,8,2,10,8,8,14,7,0,3,6,0,0,3,1,11,11,1,2,0,4,0,0,6,2,8,1,0,0.0,0.0,0.0,0.0,2011-01-30
2011,5,0,0,0,1,4,0,2,0,2,0,1,1,3,0,0,5,1,0,0,3,1,1,0,0,0,4,3,0,4,0,1,3,0,1,22,0,0,0,0,1,0,0,7,5,0,0,0,0,1,2,0,5,0,0,0,6,11,1,0,9,1,1,3,2,6,1,0,15,2,1,0,0,7,19,2,3,0,1,16,2,1,0,2,0,0,1,0,12,4,1,3,11,13,11,9,0,4,16,0,0,4,1,13,10,0,9,0,5,1,1,6,2,2,5,1,0.0,0.0,0.0,0.0,2011-02-06
2011,6,0,0,0,1,0,0,3,1,1,0,6,4,1,0,0,8,1,1,1,4,15,1,5,2,0,3,5,0,5,0,0,7,0,0,8,1,0,0,0,2,2,0,9,2,1,0,0,2,4,5,0,1,6,0,5,2,6,0,0,3,1,4,5,4,4,0,0,13,2,3,0,1,1,22,1,3,3,3,5,1,5,1,0,1,2,2,4,8,5,1,5,10,6,3,13,0,1,5,0,1,11,3,6,13,1,2,7,5,0,0,3,3,7,1,1,0.0,0.0,0.0,0.0,2011-02-13
2011,7,3,0,2,0,1,0,5,7,3,1,2,11,5,1,0,11,11,3,0,8,19,0,12,2,0,2,9,0,2,0,3,13,0,0,12,5,0,1,0,1,2,0,14,14,0,0,0,5,1,4,0,1,6,0,2,1,13,2,0,12,11,9,13,1,3,0,1,17,1,3,0,1,2,59,8,8,4,4,5,4,4,0,1,1,3,0,6,7,3,6,10,30,8,6,11,4,4,5,1,1,15,10,6,16,2,2,6,5,3,0,3,6,10,3,5,0.0,0.0,0.0,0.0,2011-02-20
2011,8,9,1,5,1,1,1,11,20,3,5,7,19,2,2,1,18,11,1,2,12,33,3,10,3,3,9,6,1,5,2,5,19,2,2,10,2,0,1,0,6,2,0,16,11,2,3,0,11,0,17,0,2,9,1,5,1,18,3,0,15,9,3,15,3,3,0,1,13,5,7,0,5,6,83,23,3,13,3,13,5,14,2,4,1,0,3,6,6,6,7,18,24,6,10,18,14,1,13,1,27,20,12,8,24,1,1,10,7,4,1,12,8,4,4,3,0.0,0.0,0.0,0.0,2011-02-27
2011,9,14,0,23,1,12,0,11,28,0,12,9,16,0,9,1,29,15,0,2,3,62,3,15,9,6,9,2,3,19,2,10,19,1,6,8,3,0,1,0,10,10,2,18,12,5,3,0,30,12,19,0,0,12,2,1,5,21,5,0,16,10,8,12,6,3,1,0,20,4,12,0,7,6,68,38,2,10,2,9,12,11,0,3,0,1,9,8,4,12,0,11,19,4,10,1,35,1,9,2,16,8,13,6,1,0,0,21,9,7,1,16,6,6,8,5,0.0,0.0,0.0,0.0,2011-03-06
2011,10,14,1,6,0,11,0,6,30,1,10,2,7,1,4,1,28,16,1,4,8,31,3,5,3,6,8,0,3,9,0,7,16,2,5,8,3,0,5,0,2,2,1,30,3,1,3,1,13,4,24,0,0,17,0,8,4,20,2,0,23,4,12,17,4,3,0,1,20,5,10,0,9,6,95,29,7,14,1,10,14,14,2,4,0,0,3,12,6,1,0,14,20,1,15,1,32,1,10,0,15,9,15,4,0,0,0,21,10,3,0,5,8,7,9,8,0.0,0.0,0.0,0.0,2011-03-13
2011,11,12,2,21,2,20,0,6,60,0,29,16,21,5,5,0,41,39,5,3,11,46,1,11,16,11,15,2,2,18,3,12,33,4,6,16,6,1,5,0,5,6,2,35,47,2,5,1,38,9,35,0,1,26,2,12,8,34,11,1,41,9,8,21,22,7,1,1,28,13,16,0,18,9,109,39,5,19,3,18,27,13,3,4,0,9,8,28,19,9,1,16,24,6,15,0,24,3,18,1,29,6,38,18,2,0,0,52,21,8,0,15,13,10,17,14,0.0,0.0,0.0,0.0,2011-03-20
2011,12,37,0,23,2,7,2,2,54,1,47,18,50,3,9,1,48,29,9,3,7,34,5,21,12,4,16,2,4,14,0,14,32,5,8,22,9,1,4,0,7,10,8,43,38,6,14,0,32,4,38,0,0,26,8,21,9,28,14,2,30,24,3,36,24,10,1,5,26,16,31,0,21,8,132,62,8,27,6,12,25,17,3,5,1,3,7,16,21,19,0,15,42,0,13,2,27,2,12,2,25,8,22,16,0,2,0,56,32,11,5,18,9,17,30,14,0.0,0.0,0.0,0.0,2011-03-27
2011,13,74,2,33,4,25,3,4,58,0,29,19,59,11,8,0,56,44,9,11,9,32,10,19,23,5,26,1,4,24,6,20,44,5,10,13,8,0,6,0,14,12,5,43,41,5,11,2,53,10,35,0,1,38,4,14,15,47,13,0,44,20,16,39,35,7,4,9,41,6,22,0,23,13,135,72,6,35,9,23,35,26,4,8,0,4,9,23,16,14,0,29,26,1,23,2,19,5,23,2,21,5,36,32,0,1,0,74,37,10,3,12,12,19,37,18,0.0,0.0,0.0,0.0,2011-04-03
2011,14,127,3,34,6,53,1,2,73,0,35,29,88,10,8,2,84,90,22,6,12,45,11,24,23,18,36,0,4,49,8,12,59,4,20,44,12,0,14,0,11,17,4,60,54,5,17,0,46,20,54,0,0,38,13,24,14,68,23,1,61,23,17,74,32,13,6,13,32,8,30,0,24,15,153,68,12,54,10,24,51,51,10,2,2,5,8,29,28,26,1,55,15,2,23,6,22,9,24,2,35,20,57,38,4,1,0,108,62,18,5,40,11,26,29,14,0.0,0.0,0.0,0.0,2011-04-10
2011,15,162,3,34,5,27,2,4,65,0,28,24,112,9,22,2,87,76,24,9,6,29,7,17,22,17,18,2,3,34,1,17,57,7,15,30,13,0,17,0,15,12,6,46,28,4,16,0,58,7,51,0,0,39,13,24,18,45,18,0,46,19,16,58,31,21,1,4,36,8,33,0,25,9,110,86,15,43,16,26,46,21,15,9,2,6,6,23,23,31,1,44,15,1,34,9,16,9,26,4,32,15,32,30,6,0,0,101,44,8,5,32,12,24,49,10,0.0,0.0,0.0,0.0,2011-04-17
